sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
572,2175,,,Rural City of Murray Bridge,15,Res 15,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 15,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":15,""lot_label"":""Res 15"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 15"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
573,2176,,,Rural City of Murray Bridge,16,Res 16,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 16,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":16,""lot_label"":""Res 16"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 16"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
574,2177,,,Rural City of Murray Bridge,17,Res 17,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 17,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":17,""lot_label"":""Res 17"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 17"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
575,2178,,,Rural City of Murray Bridge,18,Res 18,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 18,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":18,""lot_label"":""Res 18"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 18"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
576,2179,,,Rural City of Murray Bridge,19,Res 19,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 19,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":19,""lot_label"":""Res 19"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 19"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
577,2180,,,Rural City of Murray Bridge,20,Res 20,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 20,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":20,""lot_label"":""Res 20"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 20"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
578,2181,,,Rural City of Murray Bridge,21,Res 21,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 21,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":21,""lot_label"":""Res 21"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 21"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
579,2182,,,Rural City of Murray Bridge,22,Res 22,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 22,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":22,""lot_label"":""Res 22"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 22"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
580,2183,,,Rural City of Murray Bridge,23,Res 23,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 23,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":23,""lot_label"":""Res 23"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 23"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
581,2184,,,Rural City of Murray Bridge,24,Res 24,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 24,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":24,""lot_label"":""Res 24"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 24"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
582,2185,,,Rural City of Murray Bridge,25,Res 25,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 25,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":25,""lot_label"":""Res 25"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 25"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
583,2186,,,Rural City of Murray Bridge,26,Res 26,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 26,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":26,""lot_label"":""Res 26"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 26"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
584,2187,,,Rural City of Murray Bridge,27,Res 27,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 27,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":27,""lot_label"":""Res 27"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 27"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
585,2188,,,Rural City of Murray Bridge,28,Res 28,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 28,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":28,""lot_label"":""Res 28"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 28"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
586,2189,,,Rural City of Murray Bridge,29,Res 29,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 29,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":29,""lot_label"":""Res 29"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 29"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
587,2190,,,Rural City of Murray Bridge,30,Res 30,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 30,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":30,""lot_label"":""Res 30"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 30"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
588,2191,,,Rural City of Murray Bridge,31,Res 31,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 31,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":31,""lot_label"":""Res 31"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 31"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
589,2192,,,Rural City of Murray Bridge,32,Res 32,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 32,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":32,""lot_label"":""Res 32"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 32"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
590,2193,,,Rural City of Murray Bridge,33,Res 33,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 33,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":33,""lot_label"":""Res 33"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 33"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
591,2194,,,Rural City of Murray Bridge,34,Res 34,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 34,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":34,""lot_label"":""Res 34"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 34"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
592,2195,,,Rural City of Murray Bridge,35,Res 35,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 35,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":35,""lot_label"":""Res 35"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 35"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
593,2196,,,Rural City of Murray Bridge,36,Res 36,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 36,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":36,""lot_label"":""Res 36"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 36"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
594,2197,,,Rural City of Murray Bridge,37,Res 37,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 37,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":37,""lot_label"":""Res 37"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 37"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
595,2198,,,Rural City of Murray Bridge,38,Res 38,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 38,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":38,""lot_label"":""Res 38"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 38"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
596,2199,,,Rural City of Murray Bridge,39,Res 39,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 39,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":39,""lot_label"":""Res 39"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 39"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
597,2200,,,Rural City of Murray Bridge,40,Res 40,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 40,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":40,""lot_label"":""Res 40"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 40"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
598,2201,,,Rural City of Murray Bridge,41,Res 41,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 41,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":41,""lot_label"":""Res 41"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 41"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
599,2202,,,Rural City of Murray Bridge,42,Res 42,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 42,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":42,""lot_label"":""Res 42"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 42"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
600,2203,,,Rural City of Murray Bridge,43,Res 43,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 43,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":43,""lot_label"":""Res 43"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 43"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
601,2204,,,Rural City of Murray Bridge,44,Res 44,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 44,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":44,""lot_label"":""Res 44"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 44"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
602,2205,,,Rural City of Murray Bridge,45,Res 45,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 45,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":45,""lot_label"":""Res 45"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 45"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
603,2206,,,Rural City of Murray Bridge,46,Res 46,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 46,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":46,""lot_label"":""Res 46"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 46"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
604,2207,,,Rural City of Murray Bridge,47,Res 47,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 47,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":47,""lot_label"":""Res 47"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 47"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
605,2208,,,Rural City of Murray Bridge,48,Res 48,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 48,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":48,""lot_label"":""Res 48"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 48"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
606,2209,,,Rural City of Murray Bridge,49,Res 49,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 49,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":49,""lot_label"":""Res 49"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 49"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
607,2210,,,Rural City of Murray Bridge,50,Res 50,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 50,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":50,""lot_label"":""Res 50"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 50"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
608,2211,,,Rural City of Murray Bridge,51,Res 51,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 51,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":51,""lot_label"":""Res 51"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 51"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
609,2212,,,Rural City of Murray Bridge,52,Res 52,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 52,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":52,""lot_label"":""Res 52"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 52"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
610,2213,,,Rural City of Murray Bridge,53,Res 53,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 53,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":53,""lot_label"":""Res 53"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 53"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
611,2214,,,Rural City of Murray Bridge,54,Res 54,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 54,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":54,""lot_label"":""Res 54"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 54"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
612,2215,,,Rural City of Murray Bridge,55,Res 55,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 55,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":55,""lot_label"":""Res 55"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 55"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
613,2216,,,Rural City of Murray Bridge,56,Res 56,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 56,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":56,""lot_label"":""Res 56"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 56"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
614,2217,,,Rural City of Murray Bridge,57,Res 57,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 57,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":57,""lot_label"":""Res 57"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 57"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
615,2218,,,Rural City of Murray Bridge,58,Res 58,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 58,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":58,""lot_label"":""Res 58"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 58"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
616,2219,,,Rural City of Murray Bridge,59,Res 59,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 59,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":59,""lot_label"":""Res 59"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 59"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
617,2220,,,Rural City of Murray Bridge,60,Res 60,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 60,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":60,""lot_label"":""Res 60"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 60"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
618,2221,,,Rural City of Murray Bridge,61,Res 61,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 61,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":61,""lot_label"":""Res 61"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 61"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
619,2222,,,Rural City of Murray Bridge,62,Res 62,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 62,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":62,""lot_label"":""Res 62"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 62"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
620,2223,,,Rural City of Murray Bridge,63,Res 63,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 63,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":63,""lot_label"":""Res 63"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 63"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
621,2224,,,Rural City of Murray Bridge,64,Res 64,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 64,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":64,""lot_label"":""Res 64"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 64"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
622,2225,,,Rural City of Murray Bridge,65,Res 65,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 65,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":65,""lot_label"":""Res 65"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 65"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
623,2226,,,Rural City of Murray Bridge,66,Res 66,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 66,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":66,""lot_label"":""Res 66"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 66"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
624,2227,,,Rural City of Murray Bridge,67,Res 67,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 67,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":67,""lot_label"":""Res 67"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 67"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
625,2228,,,Rural City of Murray Bridge,68,Res 68,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 68,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":68,""lot_label"":""Res 68"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 68"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
626,2229,,,Rural City of Murray Bridge,69,Res 69,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 69,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":69,""lot_label"":""Res 69"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 69"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
627,2230,,,Rural City of Murray Bridge,70,Res 70,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 70,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":70,""lot_label"":""Res 70"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 70"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
628,2231,,,Rural City of Murray Bridge,71,Res 71,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 71,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":71,""lot_label"":""Res 71"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 71"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
629,2232,,,Rural City of Murray Bridge,72,Res 72,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 72,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":72,""lot_label"":""Res 72"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 72"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
630,2233,,,Rural City of Murray Bridge,73,Res 73,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 73,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":73,""lot_label"":""Res 73"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 73"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
631,2234,,,Rural City of Murray Bridge,74,Res 74,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 74,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":74,""lot_label"":""Res 74"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 74"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
632,2235,,,Rural City of Murray Bridge,75,Res 75,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 75,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":75,""lot_label"":""Res 75"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 75"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
633,2236,,,Rural City of Murray Bridge,76,Res 76,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 76,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":76,""lot_label"":""Res 76"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 76"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
634,2237,,,Rural City of Murray Bridge,77,Res 77,,,,5253,1101,residential,,,,"17-19, 21-23 Bremer Road",Res 77,13-15,Murray Bridge,,"{""council"":""Rural City of Murray Bridge"",""job_sequence"":77,""lot_label"":""Res 77"",""postcode"":""5253"",""project_number"":1101,""project_type"":""residential"",""street"":""17-19, 21-23 Bremer Road"",""street_2"":""Res 77"",""street_number"":""13-15"",""suburb"":""Murray Bridge""}"
